date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-04-2021,Sikkim,2,0,398
01-04-2021,Sikkim,4,0,361
01-05-2021,Sikkim,2,0,113
01-05-2021,Sikkim,4,0,98
01-06-2021,Sikkim,2,0,229
01-06-2021,Sikkim,4,0,244
01-07-2021,Sikkim,2,0,458
01-07-2021,Sikkim,4,0,452
01-08-2021,Sikkim,2,0,489
01-08-2021,Sikkim,4,0,408
01-09-2021,Sikkim,2,0,540
01-09-2021,Sikkim,4,0,355
01-10-2021,Sikkim,2,0,455
01-10-2021,Sikkim,4,0,345
01-11-2021,Sikkim,2,0,478
01-11-2021,Sikkim,4,0,351
01-12-2021,Sikkim,2,0,454
01-12-2021,Sikkim,4,0,394
01-01-2022,Sikkim,2,0,400
01-01-2022,Sikkim,4,0,270
01-02-2022,Sikkim,2,0,384
01-02-2022,Sikkim,4,0,371
01-03-2022,Sikkim,2,0,460
01-03-2022,Sikkim,4,0,390
01-04-2022,Sikkim,2,0,455
01-04-2022,Sikkim,4,0,380
01-05-2022,Sikkim,2,0,461
01-05-2022,Sikkim,4,0,421
01-06-2022,Sikkim,2,0,429
01-06-2022,Sikkim,4,0,446
01-07-2022,Sikkim,2,0,409
01-07-2022,Sikkim,4,0,439
01-08-2022,Sikkim,2,0,394
01-08-2022,Sikkim,4,0,421
01-09-2022,Sikkim,2,0,443
01-09-2022,Sikkim,4,0,581
01-10-2022,Sikkim,2,0,371
01-10-2022,Sikkim,4,0,340
01-11-2022,Sikkim,2,0,431
01-11-2022,Sikkim,4,0,411
01-12-2022,Sikkim,2,0,274
01-12-2022,Sikkim,4,0,288
01-01-2023,Sikkim,2,0,470
01-01-2023,Sikkim,4,0,420
01-02-2023,Sikkim,2,0,324
01-02-2023,Sikkim,4,0,364
01-03-2023,Sikkim,2,0,454
01-03-2023,Sikkim,4,0,505
01-04-2023,Sikkim,2,0,465
01-04-2023,Sikkim,4,0,439
01-05-2023,Sikkim,2,0,507
